,Pincode,latitude,longitude,BB_lat_1,BB_lat_2,BB_lon_1,BB_lon_2
0,560001,12.973012800000001,77.6035673,12.972962800000001,12.973062800000001,77.6035173,77.6036173
1,560002,12.9650043,77.579972,12.9649543,12.9650543,77.579922,77.580022
2,560003,12.998544,77.570474,12.998494,12.998594,77.570424,77.570524
3,560004,12.9389507,77.5739816,12.9389007,12.9390007,77.5739316,77.5740316
4,560005,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
5,560006,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
6,560007,12.968620300000001,77.6310733,12.968570300000001,12.968670300000001,77.6310233,77.6311233
7,560008,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
8,560009,12.975971699999999,77.5762056,12.975921699999999,12.976021699999999,77.57615559999999,77.5762556
9,560010,12.991037599999999,77.54968520000001,12.990987599999999,12.991087599999998,77.54963520000001,77.5497352
10,560011,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
11,560012,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
12,560013,13.0384651,77.5370478,13.0384151,13.0385151,77.5369978,77.5370978
13,560015,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
14,560016,12.993447699999999,77.5548788,12.9933977,12.9934977,77.5548288,77.5549288
15,560017,12.958305300000001,77.6607098,12.958255300000001,12.958355300000001,77.6606598,77.6607598
16,560018,12.9646751,77.5739449,12.9646251,12.964725099999999,77.5738949,77.5739949
17,560020,12.9897349,77.57822159999999,12.9896849,12.9897849,77.57817159999999,77.5782716
18,560021,12.9938396,77.5556207,12.9937896,12.9938896,77.5555707,77.55567070000001
19,560022,13.025687,77.547708,13.025637,13.025737,77.547658,77.547758
20,560023,12.977376,77.5641886,12.977326,12.977426,77.56413859999999,77.5642386
21,560024,13.023692500000001,77.5843619,13.023642500000001,13.0237425,77.5843119,77.5844119
22,560025,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
23,560026,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
24,560027,12.9594416,77.6001287,12.9593916,12.9594916,77.6000787,77.6001787
25,560029,12.9238253,77.6094141,12.9237753,12.9238753,77.6093641,77.6094641
26,560030,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
27,560032,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
28,560033,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
29,560034,13.031526199999998,77.67987825,12.8246015,13.238450899999998,77.4601025,77.899654
30,560035,12.938522599999999,77.6267455,12.938472599999999,12.938572599999999,77.6266955,77.6267955
31,560036,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
32,560037,12.9706141,77.6889474,12.9705641,12.9706641,77.6888974,77.6889974
33,560038,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
34,560040,12.9789189,77.5439537,12.9788689,12.9789689,77.5439037,77.5440037
35,560041,12.9245272,77.5870647,12.9244772,12.9245772,77.5870147,77.5871147
36,560042,12.9747158,77.61442459999999,12.9746658,12.974765800000002,77.61437459999999,77.6144746
37,560043,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
38,560045,13.0572067,77.624549,13.0571567,13.0572567,77.624499,77.624599
39,560046,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
40,560047,12.9662165,77.6142541,12.9661665,12.9662665,77.6142041,77.6143041
41,560048,12.9925026,77.6904602,12.9924526,12.9925526,77.6904102,77.6905102
42,560049,12.987086,77.7369762,12.987036,12.987136,77.7369262,77.7370262
43,560050,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
44,560051,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
45,560053,12.9715696,77.5945536,12.971519599999999,12.9716196,77.5945036,77.5946036
46,560054,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
47,560055,13.012447900000002,77.55647259999999,13.0123979,13.012497900000001,77.55642259999999,77.5565226
48,560056,12.9515196,77.4951282,12.9514696,12.9515696,77.4950782,77.4951782
49,560057,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
50,560058,13.0350701,77.5276471,13.0350201,13.0351201,77.5275971,77.52769709999998
51,560059,12.919559199999998,77.5005615,12.919509199999998,12.919609199999998,77.5005115,77.5006115
52,560060,12.9154233,77.48123309999998,12.9153733,12.9154733,77.4811831,77.48128309999998
53,560061,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
54,560062,12.8655625,77.5215685,12.8655125,12.8656125,77.5215185,77.5216185
55,560063,12.898725099999998,77.6393218,12.898675099999998,12.898775099999998,77.6392718,77.6393718
56,560064,13.1497545,77.6050836,12.8340125,13.4654965,77.2217445,77.9884227
57,560065,13.0949544,77.5730358,13.0949044,13.0950044,77.5729858,77.5730858
58,560066,13.024757800000001,77.76538659999999,13.024707800000002,13.024807800000001,77.7653366,77.76543659999999
59,560067,12.9936758,77.747265,12.9936258,12.9937258,77.747215,77.747315
60,560068,12.9067944,77.6032635,12.906744400000001,12.9068444,77.6032135,77.6033135
61,560070,12.9229681,77.56440479999999,12.9229181,12.9230181,77.56435479999999,77.5644548
62,560071,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
63,560072,12.9749377,77.5147357,12.9748877,12.9749877,77.5146857,77.5147857
64,560073,13.0555958,77.48112990000001,13.0555458,13.0556458,77.48107990000001,77.48117990000001
65,560074,13.10897975,77.62459475,12.8106075,13.407352,77.274852,77.9743375
66,560075,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
67,560076,12.9118523,77.6081385,12.9118023,12.9119023,77.60808850000001,77.6081885
68,560077,13.0550263,77.66753929999999,13.0549763,13.055076300000001,77.66748929999999,77.66758929999999
69,560078,12.965074099999999,77.5798241,12.965024099999999,12.965124099999999,77.5797741,77.5798741
70,560079,12.9754379,77.5460649,12.9753879,12.975487900000001,77.5460149,77.5461149
71,560080,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
72,560081,12.8004439,77.70628259999998,12.8003939,12.8004939,77.70623259999998,77.70633259999998
73,560082,12.9359811,77.52945174999999,12.7282973,13.1436649,77.274852,77.7840515
74,560083,12.93115375,77.622077,12.7186426,13.1436649,77.4601025,77.7840515
75,560084,13.007577000000001,77.62318470000001,13.007527,13.007627000000001,77.62313470000001,77.62323470000001
76,560085,12.935973800000001,77.54339959999999,12.935923800000001,12.936023800000001,77.5433496,77.54344959999999
77,560086,13.0023552,77.544116,13.0023052,13.0024052,77.544066,77.544166
78,560087,13.140973500000001,77.7094166,12.8340125,13.4479345,77.4601025,77.9587307
79,560088,12.986573750000002,77.41171890000001,12.8137491,13.1593984,77.325075,77.49836280000002
80,560089,13.17222515,77.73014229999998,13.0045557,13.3398946,77.47691359999997,77.98337099999998
81,560090,12.9925908,77.53280365,12.8340125,13.1511691,77.2435627,77.8220446
82,560091,12.9849522,77.5104461,12.9849022,12.9850022,77.5103961,77.51049609999998
83,560092,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
84,560093,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
85,560094,13.0256051,77.5774892,13.0255551,13.0256551,77.5774392,77.5775392
86,560095,12.9452454,77.61908249999999,12.9451954,12.9452954,77.61903249999999,77.61913249999999
87,560096,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
88,560097,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
89,560098,12.9162037,77.50285459999999,12.916153699999999,12.9162537,77.50280459999999,77.5029046
90,560099,12.8124024,77.65906609999999,12.8123524,12.8124524,77.6590161,77.65911609999999
91,560100,12.841331199999999,77.662315,12.8412812,12.841381199999999,77.662265,77.66236500000001
92,560102,12.917377,77.6512743,12.917327,12.917427,77.6512243,77.6513243
93,560103,12.9230309,77.681318,12.921738699999999,12.9239209,77.6810566,77.6818708
94,560104,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
95,560105,12.82109305,77.6598794627691,12.8199633,12.8219771,77.65931379999999,77.6603912
96,560107,12.953311800000002,77.35017159999998,12.8794251,13.0271985,77.33017159999999,77.37017159999998
97,560108,13.059132550000001,77.53388439999999,12.8391189,13.2791462,77.4857245,77.58204429999998
98,560109,12.8698169,77.5356688,12.8697669,12.869866900000002,77.5356188,77.5357188
99,560110,,,,,,
100,560111,12.988838699999999,77.622077,12.8340125,13.1436649,77.4601025,77.7840515
101,560300,13.198101049999998,77.6803194,13.1979229,13.198279199999998,77.6802818,77.680357
102,561101,13.02542275,77.53051565,12.7212519,13.3295936,77.3809508,77.6800805
103,561201,13.1238879,77.7733157,13.123837900000002,13.1239379,77.7732657,77.7733657
104,561203,13.1039957,77.59063599999999,12.7270321,13.4809593,77.19487779999999,77.9863942
105,561204,13.2297926,77.57822455,13.0025639,13.4570213,77.1808932,77.9755559
106,561205,13.082693849999998,77.55658899999999,12.7270321,13.438355599999998,77.2268512,77.88632679999998
107,562102,13.4816372,77.3049009,13.4616372,13.5016372,77.28490090000003,77.3249009
108,562106,12.82109305,77.6598794627691,12.8199633,12.8219771,77.65931379999999,77.6603912
109,562107,12.82109305,77.6598794627691,12.8199633,12.8219771,77.65931379999999,77.6603912
110,562109,12.8311136,77.4291715,12.8111136,12.8511136,77.4091715,77.44917149999998
111,562110,13.149694449999998,77.56051489999999,12.8038977,13.495491199999998,77.1681438,77.95288599999998
112,562111,13.14537525,77.49400514999999,12.774324900000002,13.5164256,77.1730705,77.81493979999998
113,562114,13.121311,77.56991750000003,12.7270321,13.5155899,77.18148000000002,77.95835500000003
114,562117,13.339703499999999,77.763495,13.3197035,13.3597035,77.743495,77.783495
115,562120,,,,,,
116,562122,13.11971415,77.60127349999999,12.8110442,13.4283841,77.2260348,77.9765122
117,562123,13.2136222,77.5052541,12.8038977,13.6233467,77.024114,77.9863942
118,562125,12.8876146,77.7390028,12.8875646,12.887664599999999,77.73895279999999,77.7390528
119,562126,,,,,,
120,562127,,,,,,
121,562128,,,,,,
122,562129,13.075391699999999,77.55318419999999,12.7582588,13.392524599999998,77.17275479999998,77.9336136
123,562130,13.06719205,77.56906939999999,12.7270321,13.407352,77.16380129999997,77.9743375
124,562132,13.07653795,77.59740125,12.7978377,13.3552382,77.276172,77.9186305
125,562135,13.1340356,77.7222276,12.8408656,13.4272056,77.4857245,77.9587307
126,562149,13.1433331,77.62860620000001,12.8110442,13.475622,77.366528,77.8906844
127,562157,13.126599299999999,77.61532915,12.8830993,13.3700993,77.4085758,77.8220825
128,562159,13.192457000000001,77.25291479999999,13.172457,13.212457,77.23291479999997,77.2729148
129,562162,13.088368899999999,77.53212395,12.7174961,13.459241699999998,77.1748123,77.88943559999998
130,562163,13.2771811,77.54099930000001,13.0932252,13.461137,77.17538090000002,77.9066177
131,562164,13.043797699999999,77.53577870000001,12.7174961,13.3700993,77.2813277,77.7902297
